Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""82-1/117",تزوجتك أيتها الحرية,"قبانب, نزار",لبنان,منشورات نزار قباني,1990.0,171,ديوان شعري,23451
"""352_569.3/01",اللامركزية ومسألة تطبيقها في لبنان,"قباني, خالد",بيروت,بحر المتوسط/ عويدات,1981.0,701,الادارة المحلية,15927
"""619/05",التشريح المقارن للعظام والأربطة والمفاصل,"قباني, محمد صالح",سوريا,"جامعة البعث, مديرية الكتب والمطبوعات",1990.0,494,الطب البيطري,25715
"""82-1/84 ج1",الأعمال الشعرية الكاملة,"قباني, نزار",بيروت,منشورات نزار قباني,1983.0,781,ديوان شعري,21030
"""82-1/84 ج2",الأعمال الشعرية الكاملة,"قباني, نزار",بيروت,منشورات نزار قباني,1986.0,926,ديوان شعري,21031
"""82-1/84 ج3",الأعمال الشعرية الكاملة,"قباني, نزار",بيروت,منشورات نزار قباني,1983.0,647,ديوان شعري,21032
"""82-82/11",الكتابة عمل انقلابي,"قباني, نزار",بيروت,منشورات نزار قباني,1978.0,270,مقالات مختلفة,5502
"""801.551/01",إعراب الجمل وأشباه الجمل,"قباوة, فخر الدين",بيروت,دار الآفاق الجديدة,1983.0,335,الإعراب,17410
"""801.551/09",المورد الكبير : نمادج تطبيقية في الإعراب والأدوات والصرف,"قباوة, فخر الدين",بيروت,دار الآفاق الجديدة,1978.0,592,الإعراب,11702
"""801.552/02",ابن عصفور والتصريف,"قباوة, فخر الدين",بيروت,دار الآفاق الجديدة,1981.0,303,الصرف,17087
"""801.552/02 مكرر",ابن عصفور والتصريف,"قباوة, فخر الدين",بيروت,دار الآفاق الجديدة,1981.0,303,الصرف,13929
"""801.552/02 مكرر2",ابن عصفور والتصريف,"قباوة, فخر الدين",بيروت,دار الآفاق الجديدة,1981.0,303,الصرف,23600
"""327.5/12",عاصفة الصحراء,"قبضايا, صلاح",لندن,الشركة السعودية للابحاث والتسويق الدولية,1991.0,333,المنازعات الدولية,22537
"""323.27_569.3/02",لبنان: أزمة وحلول,"قبلان, هشام",بيروت,دار الآفاق الجديدة,1978.0,188,الثورات,7017
"""002/01",علم التوثيق والحفظ في الوطن العربي: مسح ميداني وإحصائي شامل,"قبيسي, محمد",بيروت,دار الافاق الجديدة,1980.0,120,علم التوثيق,7155
"""002/01 مكرر",علم التوثيق والحفظ في الوطن العربي: مسح ميداني وإحصائي شامل,"قبيسي, محمد",بيروت,دار الآفاق الجديدة,1980.0,120,علم التوثيق,17083
"""002/04",علم التوثيق والتقنية الحديثة,"قبيسي, محمد",بيروت,دار الآفاق الجديدة,1982.0,186,علم التوثيق,17085
"""002/08",حضارة العرب في حفظ وثائقهم,"قبيسي, محمد",بيروت,دار الآفاق الجديدة,1979.0,143,علم التوثيق,6924
"""297.1/08",تدوين القرآن الكريم: الوثيقة الأولى في الإسلام,"قبيسي, محمد",بيروت,دار الآفاق الجديدة,1981.0,107,القرآن,17133
"""336.126/08",محاسبة التكاليف,"قداح, سليمان",دمشق,جامعة دمشق,1986.0,357,المحاسبةالعمومية,25588
"""091:336.2/01",كتاب الخراج وصناعة الكتابة,"قدامة, ابن جعفر",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,,مخطوطات : الخراج,17991
"""82.09/49",نقد الشعر,"قدامة, بن جعفر ابو الفرج",بيروت,دار الكتب العلمية,,216,النقد الادبي,9595
"""336.126/14",محاسبة التكاليف المعيارية,"قدح, سليمان",دمشق,المطبعة الجديدة,1988.0,378,المحاسبة العمومية,25544
"""956.0/01",أعلام الشرق الحديث: مصطفى كمال أتاتورك: محرر توركيا ومؤسس دولتها الحديتة,"قدري, محمد علي",,,1983.0,48,تاريخ تركيا,17818
"""327.5/11",انفجار المشرق العربي: من تأميم قناة السويس إلى اجتياح لبنان,"قدم, جورج",بيروت,دار الطليعة,1987.0,227,المنازعات الدولية,18599
"""911.3:33/07",جغرافية التجارة الدولية,"قدور, أسامة",دمشق,مطبعة الاتحاد,1989.0,148,الجغرافية الاقتصادية,24479
"""93_927/12",تاريخ العرب الحديث,"قدورة, زاهية",بيروت,دار النهضة العربية,1975.0,597,تاريخ العرب,7053
"""341.123/01",مؤسسة الدراسات الفلسطينية,قرارات الامم المتحدة بشان فلسطين والصراع العربي الإسرائيلي 1947-1974,بيروت,,1975.0,366,المنظمات الدولية,758
"""347.992_64/01",دار النشر المغربية,قرارات محكمة الإستئناف بالرباط 1928 - 1930 - 1942 - 1944,البيضاء,,,640,التنظيم القضائي,11551
"""1/70",اشكالات: نقد منهجي في الفلسفة والفكر السياسي وفلسفة التاريخ,"قربان, ملحم",بيروت,المؤسسة الجامعية للدرسات,1980.0,375,فلسفة,13954
"""1/70 مكرر",إشكالات: نقد منهجي في الفلسفة والفكر السياسي وفلسفة التاريخ,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1980.0,375,فلسفة,23488
"""301.188.6/02",خلدونيات: السياسة العمرانية,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1984.0,404,علم الإجتماع: السياسة العمرانية,15892
"""32/13",قضايا الفكر السياسي: الحقوق الطبيعية,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1983.0,244,علوم سياسية,13247
"""32/20",قضايا الفكر السياسي: القانون الطبيعي,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1982.0,195,علوم سياسية,13272
"""32/21",قضايا الفكر السياسي: القوة,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1983.0,337,علوم سياسية,13256
"""32/66",الواقعية السياسية,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1981.0,292,علوم سياسية,23454
"""342.7/03",الحقوق الإنيانية: فعل إلتزام,"قربان, ملحم",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1989.0,227,الحقوق الأساسة,23381
"""347.99_620/01",موسوعة قضاء النقض في المنازعات التجارية والبحرية والضرائب,"قرة, فتيحة",القاهرة,منشآة المعارف,1980.0,208,التنظيم القضائي,23305
"""621.3.04/02 ج1و2",الدارات الكهربائية .1-2: التجارب المخيرية للدرات الكهربائية,"قرطاب, محمد",دمشق,جامعة دمشق,1991.0,141,الدارات الكهربائية,26364
"""621.3.04/03 ج2",مسائل في الدارات الكهربائية 2: الجزء العلمي,"قرطاب, محمد",دمشق,منشورات جامعة دمشق,1992.0,157,الدارات الكهربائية,26390
"""548/01",علم المعادن,"قرفول, محمد كمال",سوريا,جامعة البعث,1993.0,206,علم المعادن,25743
"""960/10",تاريخ العالم الثالث الحديث والمعاصر,"قرقوط, ذوقان",,منشورات جامعة دمشق,1992.0,339,تاريخ افريقيا,24514
"""323.1/13",نعم لمنضمة التحرير الفلسطينة,قسم الدراسات (مجلة فلسطين المحتلة),بيروت,منشورات فلسطين المحتلة,1981.0,119,الحركات الوطنية,7261
"""37.014.5/20",الإحصاء والمؤشرات التربوية: الوحدة الثانية: طرق جمع المعلومات التربوية,قسم السياسة التربوية والتخطيط,الرياض,اليونسكو,1999.0,96,سياسة التربية - التحطيط التربوي,28016
"""37.014.5/16",عملية التخطيط التربوي. الوحدة التانية: متطلبات التخطيط التربوي,"قسم السياسة التربوية والتخطيط ""اليونسكو""",الرياض,مكتب التربية العربي لدول الخليج,1991.0,96,التخطيط التربوي,24595
"""371.11/02",الإدارة التربوية على مستوى المحلي: الوحدة الأولى: العمليات اللامركزية في الإدارة التربوية,"قسم السياسة التربوية والتخطيط ""اليونسكو""",الرياض,مكتب التربية العربي لدول الخليج,1996.0,84,الإدارة التربوية,27329
"""371.11/03",الإدارة التربوية على المستوى المحلي: الوحدة التانية: البنى الرسمية والمشاركة,"قسم السياسة التربوية والتخطيط ""اليونسكو""",الرياض,مكتب التربية العربي لدول الخليج,1996.0,96,الإدارة التربوية,27327
"""371.11/04",الإدارة التربوية على المستوى المحلي: الوحدة الثالثة: الإدارة التربوية على المستوى المحلي والمدرسي,"قسم السياسة التربوية والتخطيط ""اليونسكو""",الرياض,مكتب التربية العربي لدول الخليج,1996.0,112,الإدارة التربوية,27328
"""371.11/05",الإدارة التربوية على المستوى المحلي: الوحدة الرابعة: مشاركة المجتمع في الإدارة التربوية,"قسم السياسة التربوية والتخطيط ""اليونسكو""",الرياض,مكتب التربية العربي لدول الخليج,1996.0,144,الإدارة التربوية,27330
"""371.6/02",المنشآت التربوية.. معاييرها ونقاييسها الوحدة الثانية: التصميم والبناء والتكاليف,قسم السياسة التربوية والتخطيط اليونسكو,الرياض,اليونسكو,1998.0,132,البنايات والتجهيزات المدرسية,27622
"""371.6/03",المنشآت التربوية .. معاييرها ومقاييسها الوحدة الثالثة: البدائل في مجال التطبيق,قسم السياسة التربوية والتخطيط اليونسكو,الرياض,اليونسكو,1998.0,72,البنايات والتجهيزات المدرسية,27623
"""371.6/01",المنشآت التربوية .. معاييرها ومقاييسها. الوحدةالأولى: النوعية والموارد والتوزيع,قسم السياسة التربيوية والتخطيط اليونسكو,الرياض,اليونسكو,1998.0,120,البنايات والتجهيزات المدرسية,27621
"""37.014.5/19",الإحصاء والمؤشرات التربوية: الوحدة الأولى: الإحصاء التربوي,قسم السياسةالتربوية والتحطيط,الرياض,مكتب التربية العربي لدول الخليج,1998.0,112,سياسة التربية - التحطيط التربوي,28022
"""595.6/02",مقدمة في فيزيولوجيا الحشرات,"قسيس, وجيه",دمشق,جامعة دمشق,1993.0,195,علم الحشرات: فيزيولوجيا,26153
"""301.18/06",الجماعات والقيادة,"قشطة, عبد الحليم عباس",الموصل,مؤسسة دار الكتب للطباعة والنشر,1981.0,190,علم الإجتماع,26668
"""301.18/06 مكرر",الجماعات والقيادة,"قشطة, عبد الحليم عباس",الموصل,مؤسسة دار الكتب للطباعة والنشر,1981.0,190,علم الإجتماع,28486
"""63_567/01",الجماعات والقيادة,"قشطة, عبد الحليم عباس",بغداد,وزارة التعليم العالي والبحث العلمي,1981.0,189,الزراعة في العراق,8958
"""581.16/01",التكاثر النباتي,"قشلان, عدنان",سوريا,جامعة حلب,1982.0,276,التناسل والتكاثرالنباتي,26074
"""581.17/01",الخلية النباتية,"قشلان, عدنان",سوريا,جامعة حلب,1990.0,268,فيزيولوجية الخلية النباتية,26077
"""581.4/01",مورفولوجيا النبات,"قشلان, عدنان",سوريا,جامعة حلب,1990.0,234,مورفولوجية النبات,26139
"""581.4/01 مكرر",مورفولوجيا النبات,"قشلان, عدنان",سوريا,جامعة حلب,1990.0,234,مورفولوجية النبات,26075
"""1:297/78",التفكير الإجتماعي عند العرب,"قصاب حسن,sنجوى",دمشق,مطبعة ابن حيان,1984.0,175,فلسفة إسلامية,24386
"""82.09/103",أصول النقد العربي القديم,"قصبجي, عصام",دمشق,مطبعة إبن خلدون,1992.0,292,النقد الأدبي,24426
"""801/07",دار توبقال للنشر,قضايا المنهج في اللغة والأدب,الدار البيضاء,,1987.0,101,اللسانيات,18369
"""801/07 مكرر",دار توبقال للنشر,قضايا المنهج في اللغة والأدب,الدار البيضاء,,1987.0,101,اللسانيات,20273
"""008/32",مطابع الدوحة الحديثة,قضايا ثقافية 2: فعاليات نادي الجسر الثقافي الإجتماعي خلال المؤسم الثقافي 87 / 1988,قطر,,1988.0,502,الثقافة,19841
"""008/32 مكرر",مطابع الدوحة الحديثة,قضايا ثقافية 2: فعاليات نادي الجسر الثقافي الإجتماعي خلال الموسم الثقافي87-1988,قطر,,1988.0,502,الثقافة,19840
"""681.3_927/01",المنظمة العربية للتربية والثقافة والعلوم,قضية التخطيط الإعلامي في الوطن العربي,القاهرة,,1980.0,168,إعلاميات,12318
"""396/38",دار الطليعة,قضية النساء,بيروت,,1986.0,256,المرأة,20996
"""82-1_مه/11",إلياس فرحات شاعر العرب في المهجر : حياته وشعره,"قطامي, سمير بدوان",القاهرة,دار المعارف,1971.0,347,الأدب المهجري,5483
"""616.28/01",أمراض الأذن,"قطاية, سلمان",سوريا,جامعة حلب,1980.0,409,أمراض الأذن,25472
"""330.11/08",الرياضيات الاقتصادية والادارية,"قطاية, محمد وليد",حلب,جامعة حلب,1982.0,246,الظواهر والاهداف الاقتصادية,25525
"""591.1/02",الفيزيولوجيا الحيوانية (وظائف الاتصال),"قطب, زياد",دمشق,,1991.0,413,فيزيولوجيا الحيوان,25499
"""297.125/33",في ظلال القرآن. المجلد الأول,"قطب, سيد",القاهرة,دار الشروق,1979.0,614,القرآن : تفسير,2708
"""297.125/33 مكرر",في ظلال القرآن. المجلد الأول,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,614,القرآن : تفسير,484
"""297.125/34",في ظلال القرآن. المجلد الثاني,"قطب, سيد",القاهرة,دار الشروق,1979.0,1174,القرآن : تفسير,2709
"""297.125/34 مكرر",في ظلال القرآن. المجلد الثاني,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,1174,القرآن تفسير,485
"""297.125/35",في ظلال القرآن. المجلد الثالث,"قطب, سيد",القاهرة,دار الشروق,1979.0,1830,القرآن : تفسير,2710
"""297.125/35 مكرر",في ظلال القرآن. المجلد الثالث,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,1830,القرآن : تفسير,486
"""297.125/36",في ظلال القرآن. المجلد الرابع,"قطب, سيد",القاهرة,دار الشروق,1979.0,2542,القرآن : تفسير,2711
"""297.125/36 مكرر",في ظلال القرآن. المجلد الرابع,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,2542,القرآن : تفسير,487
"""297.125/37",في ظلال القرآن. المجلد الخامس,"قطب, سيد",القاهرة,دار الشروق,1979.0,3241,القرآن : تفسير,2712
"""297.125/37 مكرر",في ظلال القرآن. المجلد الخامس,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,3241,القرآن : تفسير,488
"""297.125/38",في ظلال القرآن. المجلد السادس,"قطب, سيد",القاهرة,دار الشروق,1979.0,4016,"القرآن, تفسير",2713
"""297.125/38 مكرر",في ظلال القرآن. المجلد السادس,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,4016,القرآن : تفسير,489
"""297.15/22",التصوير الفني في القرآن,"قطب, سيد",القاهرة - بيروت,دار الشروق,,208,القرآن : دراسات,558
"""297.15/22 مكرر",التصوير الفني في القرآن,"قطب, سيد",بيروت,دار الشروق,,208,القرآن : دراسات,9939
"""297.43/33",العدالة الإجتماعية في الإسلام,"قطب, سيد",بيروت,دار الشروق,1974.0,294,التشريع الإسلامي,556
"""297.911/01",معركة الإسلام والرأسمالية,"قطب, سيد",القاهرة,دار الشروق,1978.0,126,الإسلام والعلوم الإقتصادية,559
"""297.95/27",المستقبل لهذا الدين,"قطب, سيد",القاهرة,دار الشروق,1974.0,117,الإسلام والقضايا العالمية المعاصرة,17023
"""297/106",خصائص التصور الإسلامي ومقوماته,"قطب, سيد",بيروت - القاهرة,دار الشروق,1978.0,240,الإسلام,557
"""297/22",دراسات إسلامية,"قطب, سيد",بيروت - القاهرة,دار الشروق,1973.0,250,الإسلام,561
"""82.09/27",النقد الادبي: اصوله ومناهجه,"قطب, سيد",بيروت,,,272,النقد الادبي,4201
"""297.15/05",دراسات قرآنية,"قطب, محمد",بيروت,دار الشروق,,511,القرآن : دراسات,4164
"""297.914/03",منهج التربية الإسلامية,"قطب, محمد",دمشق,دار دمشق,,294,الإسلام وعلوم التربية,550
"""297.92/03",دراسات في النفس الإنسانية,"قطب, محمد",القاهرة,دار الشروق,1974.0,384,الإسلام والعلوم الإنسانية,551
"""297.92/04",الإنسان بين المادية والإسلام,"قطب, محمد",بيروت,دار الشروق,1978.0,224,الإسلام والعلوم الإنسانية,553
"""297.95/25",شبهات حول الإسلام,"قطب, محمد",القاهرة,دار الشروق,,223,الإسلام والقضايا العالمية المعاصرة,19696
"""297.95/25 مكرر",شبهات حول الإسلام,"قطب, محمد",القاهرة,دار الشروق,,245,الإسلام والقضايا العالمية المعاصرة,555
"""297/20",منهج الفن الإسلامي,"قطب, محمد",القاهرة,دار الشروق,,359,الإسلام : الفن الإسلامي,554
"""297/51",معركة التقاليد,"قطب, محمد",بيروت - القاهرة,دار الشروق,1978.0,180,الإسلام,4798
"""297/51 مكرر",معركة التقاليد,"قطب, محمد",بيروت,دار الشروق,1983.0,182,الإسلام,23460
"""297/95",جاهلية القرن العشرين,"قطب, محمد",القاهرة,دار الشروق,1975.0,352,الإسلام,552
"""908_536.4/01",إدارة المطبوعات والنشر,قطر: الكتاب السنوي,قطر,,1979.0,213,الأقاليم الجهوية,12486
"""54/13",تجارب مخبرية في الكيمياء العامة,"قطيش نزيه, بحبوح محمود",حلب,مديرية الكتب والمطبوعات,1983.0,210,الكيمياء,24830
"""327/31",ببريسترويكا المستقبل وقضايانا,"قطيش, مفيد",بيروت,دار الفارابي,1989.0,243,العلاقات السياسية الدولية,23329
"""54/12",الكيمياء العامة,"قطيش, نزيه",حلب,مديرية الكتب والمطبوعات الجامعية,1985.0,438,الكيمياء,24827
"""93:297/68",الخليج العربي,"قلعجي, قدري",بيروت,دار الكاتب العربي,,674,تاريخ الاسلام,23634
"""93:297/68 مكرر",الخليج العربي,"قلعجي, قدري",بيروت,دار الكاتب العربي,,674,تاريخ الاسلام,23607
"""910.26/02",الاساسيات النظرية في منهجية البحث الجغرافي,"قماش, فيصل عزام",,مطبعة جامعة دمشق,1989.0,116,جغرافية الخرائط,24363
"""711.43/02",دراسات في التطور العمراني وتخطيط المدن,"قماش,فيصل عزام",دمشق,جامعة دمشق,1990.0,196,تخطيط المدنذ,24782
"""39.3/01",أسماك العراق والخليج العربي,"قمر الدهام, نجم",البصرة,جامعة البصر,1979.0,406,تربية الأسماك,6173
"""82-1_حد/12",الإتجاه الإنساني في الشعر العربي المعاصر,"قميحة, مفيد محمد",بيروت,دار الافاق الجديدة,1981.0,587,الأدب الحديث,11261
"""82-1_حد/12 مكرر",الإتجاه الإنساني في الشعر العربي المعاصر,"قميحة, مفيد محمد",بيروت,دار الافاق الجديدة,1981.0,587,الأدب الحديث,17073
"""1:297/119",مقدمة ابن خلدون : دراسات - مختارات,"قمير, يوحنا",بيروت,دار المشرق,1970.0,92,فلسفة إسلامية,9550
"""1:297/127",أصول الفلسفة العربية,"قمير, يوحنا",بيروت,دار المشرق,1973.0,143,فلسفة إسلامية,10293
"""101.9/33",الفارابي : دراسة - مختارات,"قمير, يوحنا",بيروت,دار المشرق,1979.0,81,شخصيات فلسفية: الفارابي,9549
"""101.9/41",ابن رشد: دراسة - مختارات.,"قمير, يوحنا",بيروت,دار المشرق,1968.0,84,شخصيات فلسفية: ابن رشد,9548
"""368/03",معجم الألفاظ المشتركة في اللغة العربية,"قنبس, عبد الحليم محمد",بيروت,مكتبة لبنان,1987.0,118,المعجم اللغوي,23174
"""654/04",عربسات: الشبكة الفضائية العربية وقضايا الإتصال في الوطن العربي,"قنديل, حمدي",مصر,الهيئة المصرية العامة للكتاب,1989.0,316,وسائل الإتصال,23448
"""547/17",الكيمياء العضوية لطلاب السنة الأولى,"قنديل, فاروق",حلب,مديرية الكتب والمطبوعات,1982.0,306,الكيمياء العضوية,24728
"""07/11 مكرر",أقسام المعلومات الصحفية (الأرشيف),"قنديلجي, عامر إبراهيم",بيروت,مؤسسة البترا,1981.0,111,الصحافة,3886
"""167/03",البحث العلمي : دليل الطالب في الكتابة والمكتبة والبحث,"قنديلجي, عامر إبراهيم",بغداد,الجامعة المستنصرية,1979.0,167,البحث العلمي,12365
"""07/11",أقسام المعلومات الصحفية (الأرشيف),"قنديلجي, عامر ابراهيم",بيروت,مؤسسة بترا,1981.0,111,الصحافة,12590
"""165/08",الموضوعية في العلوم الإنسانية : عرض نقدي لمناهج البحث,"قنصوه, صلاح",بيروت,دار التنوير,1984.0,416,فلسفة العلوم,19684
"""343.2/08",قانون العقوبات: القسم العام,"قهوجي, علي عبد القادر",بيروت,الدار الجامعية,1985.0,453,القانون الجنائي,16644
"""347/19",مطبعة الساحل,قوانين حماية الملكية الصناعية وحماية الملكية الأدبية والفنية,الرباط,,1985.0,180,القانون المدني,15945
"""347/19 مكرر",مطبعة الساحل,قوانين حماية الملكية الصناعية وحماية الملكية الأدبية والفنية,الرباط,,1985.0,180,القانوم المدني,17101
"""371.21/02",الأصول التربوية في بناء المناهج,"قورة, حسين سليمان",القاهرة,دار المعارف,1982.0,483,مناهج وطرق التدريس,11572
"""297/54",الإسلام وسائر الأديان,"قورور, نوري رأفت",إستانبول,مكتبة الحقيقة,1996.0,304,الإسلام,27358
"""338.93/31",الجودة مدخل المشاريع المتتالية,"كابر, ريشارد",الرياض,معهد الإدارةالعامة,1999.0,413,المقاولات,28561
"""32/02",المعارضة والدولة في السلم والحرب,"كابلان, مورتون ا.",بيروت,دار الافاق الجديدة,1970.0,176,علوم سياسية,6912
"""33/60",مبادىء الاقتصاد القياسي,"كابوس, أمل",حلب,جامعة حلب,1981.0,484,الاقتصاد السياسى,25607
"""659/10",الإعلام السياسي والإسلام: دراسة عن الرأي العام وكيف تصنعه وتسيطر عليه,"كاتز, دانييل",القاهرة,الجمعية المصرية لنشر المعرفة والثقافة العالمية,1982.0,282,الإعلام,19676
"""32/23",في النقد الاجتماعي,"كارديللي, إدوارد",القاهرة,دار المعارف بمصر,1968.0,158,علوم السياسية,23552
"""32/23 مكرر",في النقد الاجتماعي,"كارديللي, ادوارد",القاهرة,دار المعارف,1968.0,160,العلوم السياسية,13974
"""343.9/04",مقدمة في الإنحراف الإجتماعي,"كاره, مصطفى عبد المجيد",بيروت,معهد الإنماء العربي,1985.0,349,علم الإجرام,25281
"""947/01",الإمبراطورية السوفياتية الجديدة... لا سلام ولا حرب أو في حسن استخدام الانفجار,"كارير, دانكوس هيلين",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1987.0,334,روسيا: الاتحاد السوفياتي,18594
"""03/89 م1",قاموس عربي فرنسي (أ-ص),"كازيمرسكي, بيبرشتاين",بيروت,المكتبة اللبنانية,1944.0,1392,المعجم عربي فرنسي,9141
"""03/89 م1 مكرر",قاموس عربي فرنسي(أ-ص),"كازيمرسكي, بيبرشتاين",بيروت,المكتبة اللبنانية,1944.0,1392,المعجم عربي فرنسي,17338
"""03/89 م2",قاموس عربي فرنسي (ض-ي),"كازيمرسكي, بيبرشتاين",بيروت,المكتبة اللبنانية,1944.0,1638,المعجم عربي فرنسي,9142
"""03/89 م2 مكرر",قاموس عربي فرنسي (ض - ي),"كازيمرسكي, بيبرشتاين",بيروت,المكتبة اللبنانية,1944.0,1638,المعجم عربي فرنسي,17339
"""820_73/04",دراسات في أعلام الأدب الأمريكي,"كازين, الفريد",القاهرة,مكتبة الانجلو المصرية,1989.0,588,الأدب الأمريكي,21382
"""159.97/06",علم النفس الشواذ,"كاشدان, شيلدون",بيروت,دار الشروق,1984.0,230,علم النفس المرضي,21307
"""621.314/01",المحولات,"كاظم عثمان بك, موسى",حلب,منشورات جامعة حلب,1981.0,197,المحولات الكهربائية,26295
"""03/95","العريف, معجم في مصطلحات النحو العربي: عربي إنجليزي - إنجليزي عربي","كاكيا, بيير",بيروت,مكتبة لبنان,1973.0,200,المعجم اللغوي,10712
"""373.6/01",إدارة تعلم العلوم التجارية,"كالهون, كالفري",الرياض,معهد الإدارة العامة للبحوث,1992.0,584,التعليم التقني,6990
"""342_73/01",أضواء على دستور دولة الولايات المتحدة,"كامل, أمير",القاهرة,مكتبة الانجلوالمصرية,1982.0,206,القانون الدستوري,11044
"""553.61/01",معادن الطين,"كامل, محمد وليد",سوريا,جامعة حلب,1988.0,271,معادن الطين,25745
"""801.43/02",كتابة اللغات الأتراكية بالحرف العربي,"كامليف, سعيد هبة الله",,إيسيسكو,1995.0,47,اللغة التركية,26783
"""32/80",غرامشي حياته وأعماله,"كاميت, جون",,مؤسسة الابحاث العربية,1984.0,386,علوم سياسية,15918
"""17/15",أسس ميتافيزيقا الأخلاق,"كانط, إمانويل",بيروت,دار النهضة العربية,1970.0,195,الأخلاق,15839
"""338.93/34",الإبداع في المشروعات ودور الارتجال الحر.,كاو جون.,القاهرة.,مركز الأهرام للترجمة والنشر.,2001.0,216,المقاولات.,29271
"""82.09/59","فصول في الادب والنقد ""بيت متعدد النوافذ""","كاولى, مالكولم",القاهرة,دار الطباعة الحديثة,1981.0,352,النقد الادبي,11027
"""001.19/01",الغاز من عالمنا,كبار اندره,بيروت,المكتبة الشرقية,1985.0,274,عموميات : احداث خارقة,15703
"""1/16",عصر البنيوية من ليفي شتراوس إلى فوكو,"كبيروزيل, إديث",الدار البيضاء,دار قرطبة,1986.0,292,فلسفة,18325
"""338.6/01",الورشة الوطنية حول التعاونيات النسوية,"كبيك, أوكسفام",الرباط,غكاظ,2000.0,157,التنظيم المهني,28560
"""35/63",نظرية القرارات الإدارية,"كبيه, محمد",حلب,جامعة حلب,1991.0,517,القانون الإداري,25570
"""964/191",من ملفات الوحدة الترابية: سيدي محمد بن عبد الله وقضية مليلية المحتلة 1774 - 1775,"كبييرو, خوان",الرباط,المطبعة الملكية,1996.0,178,تاريخ المغرب,27243
"""297.4""812/01",دار الآفاق الجديدة,كتاب الأحكام الشرعية في الأحوال الشخصية على مذهب الإمام أبي حنيفة,بيروت,,1980.0,189,المذهب الحنفي,17074
"""347.6/01",دار الافاق الجديدة,كتاب الاحكام الشرعية في الاحوال الشخصية على مدهب الإمام أبي حنيفة,بيروت,,1980.0,197,قانون الاحوال الشخصية,6933
"""82-84/07",دار الآفاق الجديدة,كتاب التحفة البهية والطرفة الشهية : مجموعة مختارة من عيون الأدب العربي,بيروت,,1981.0,294,الأمثال والحكم,9722
"""82-3/05",دار المشرق,كتاب بلوهر وبوذاسف,بيروت,,,196,القصة,25433
"""347.991_64/04",قرارات المجلس الأعلى - الغرفة الإدارية (1971 - 1972),كتابة الدولة في الشؤون الإدارية,الرباط,جمعية تنمية البحوث والدراسات الادارية,1983.0,399,التنظيم القضائي,15203
"""620.1/06",مقاومة المواد: الجمل الإنشائية المقررة,"كتخدا, عزام",سوريا,جامعة حلب,1985.0,135,مقاومة مواد البناء,25942
"""620.1/20",ميكانيك الإنشاءات . 4 .,"كتخدا, عزام",حلب,منشورات جامعة حلب,1990.0,288,مقاومة مواد البناء,25889
"""72/12",نظريات الإنشاء,"كتخدا, عزام",حلب,مديرية الكتب والمطبوعات الجامعية,1981.0,230,الهندسة المعمارية,25824
"""72/15 ج3",حساب الإنشاءات : 3,"كتخدا, عزام",حلب,مديرية الكتب والمطبوعات الجامعية,1985.0,348,الهندسة المعمارية,25816
"""53/32 ج2",الفيزياء العامة,"كتوت, فخري",دمشق,جامعة دمشق,1992.0,266,الفيزياء,25500
"""03:92/01 ج1",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,دار إحياء التراث العربي,,320,المعجم البيوغرافي,2693
"""03:92/01 ج1 مكرر",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,دار إحياء الثرات العربي,,320,المعجم البيوغرافي,25
"""03:92/02 ج2",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,دار إحياء التراث العربي,,320,المعجم البيوغرافي,2694
"""03:92/02 ج2 مكرر",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,دار إحياء الثرات العربي,,320,المعجم البيوغرافي,26
"""03:92/03 ج3",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,مكتبة المثنى,,320,المعجم البيوغرافي,2695
"""03:92/03 ج3 مكرر",معجم المؤلفين: تراجم مصنفي الكتب العربية,"كحالة, عمر رضا",بيروت,دار الإحياء الثرات العربي,,320,المعجم البيوغرافي,27
